Pair ID,Class 1,Term 1,Similarity,Class 2,Term 2,Term 1 Expand,Term 2 Expand
0025734-0016707,12,vehicles,Similar,12,"tipping apparatus, parts of trucks and waggons","Apparatus for locomotion by land, air, or water, for conveying people or goods",Mechanical tilting systems for tilting the load-carrying beds of trucks and waggons to unload their contents
0020733-0027889,30,sushi,Dissimilar,30,honey,Prepared food in the nature of sushi,Natural edible honey
0016334-0072794,30,sausage binding materials,Dissimilar,30,syrups and treacles,Food-grade binding materials for use in sausages,Sweetened food syrups and treacles
0047736-0047793,9,"measuring, detecting and monitoring instruments, indicators and controllers",Dissimilar,11,nuclear installations,"Physical apparatus and instruments for measuring, detecting, monitoring, indicating, and controlling",Industrial installations for nuclear energy generation or heat production
0059146-0003199,1,sensitized photographic plates,Dissimilar,1,chemicals used in horticulture,Plates coated with light-sensitive chemical preparations for photographic imaging,Chemical preparations for use in horticulture
0041296-0031007,2,wood preservatives,Low similar,2,canada balsam,Chemical preparations for preserving wood,"Canada balsam, a natural resin"
0072390-0057640,25,footwear,Identical,25,training shoes,Articles of footwear for covering and protecting the feet,"Athletic footwear designed for general exercise, gym workouts, and cross-training"
0014354-0027566,7,transmission components (except for land vehicles),Dissimilar,7,"pumps [parts of machines, engines or motors]","Mechanical components for power transmission in machines and engines, except for land vehicles","Mechanical pump components for machines, engines, or motors"
0003828-0018104,18,umbrellas,Dissimilar,25,underwear,Non-metallic umbrella-shaped structural elements for building construction,Undergarments [clothing]
0022650-0058962,9,diving equipment,Dissimilar,25,headgear,Apparatus and instruments for facilitating underwater exploration and activity,Articles of clothing for wearing on the head
0018676-0059246,40,embroidering,Dissimilar,26,"hair curlers, other than hand implements",Embroidering services [treatment of materials],Non-hand-operated devices and rollers for curling hair
0035861-0059451,3,bleaching preparations,Dissimilar,5,fungicides,"Chemical preparations for bleaching, primarily for laundry and cleaning purposes","Chemical preparations, namely, fungicides for agricultural and horticultural use"
0003653-0057795,29,aloe vera prepared for human consumption,Dissimilar,30,ice for refreshment,Prepared aloe vera for human consumption [foodstuff],Frozen water for refreshment
0022493-0031511,9,coin-operated mechanisms,Dissimilar,9,sound recording apparatus,Mechanical components for actuating coin-operated apparatus,Electronic apparatus for sound recording
0023749-0047441,36,charitable fund raising,Dissimilar,36,real estate affairs,Charitable fund raising services,"Services related to real property, namely, managing real estate affairs"
0047742-0046364,9,recorded content,Dissimilar,25,clothing,Recorded and downloadable content in digital media format,Garments and articles of dress for covering the human body
0031968-0073906,41,coaching,Identical,41,education and instruction services,Coaching services [training and instruction],Professional education and instruction services
0059256-0047950,29,meat,Dissimilar,31,"agricultural and aquacultural crops, horticulture and forestry products",Edible animal flesh for human consumption,"Raw and unprocessed agricultural, aquacultural, horticultural, and forestry products, including crops, plants, and seeds for cultivation or raw consumption."
0059484-0070199,30,cakes,Similar,30,sweets,"Baked desserts, namely, cakes","Confectionery, namely, sweets"
0012197-0018122,30,mixtures for making water ices,Dissimilar,30,yeast,Food mixtures for making water ices,Yeast for food purposes
0039227-0007027,3,rinsing aids for use when washing clothes,Dissimilar,1,decolorants for industrial purposes,Chemical preparations in the nature of rinsing aids for use when washing clothes,Chemical preparation for industrial decolorizing
0024462-0001702,35,business management,Low similar,35,mediation of trade business for third parties,Business management services,Business brokerage services for mediating trade business for third parties
0058750-0036724,26,heat adhesive patches for repairing textile articles,Dissimilar,26,artificial flowers,Heat-adhesive fabric patches for repairing textile articles,Artificial flowers for decorative purposes
0035972-0040760,29,milk products,Similar,29,palm oil for food,"Edible food substances derived from milk, namely, milk products","Edible palm oil, for human consumption as a food ingredient or cooking oil"
0058890-0024682,7,lifting apparatus,Dissimilar,7,cartridges of staples for industrial stapling machines,Machines for lifting heavy objects,"Consumable components for industrial stapling machines, namely, cartridges of staples"
0004990-0047463,30,meat tenderizers for household purposes,Dissimilar,29,dried fruit,Culinary preparations for tenderizing meat for household use,"Preserved food products, namely, dried fruit"
0011999-0001411,10,surgical apparatus and instruments,Dissimilar,5,herbicides,Medical and surgical apparatus and instruments,Chemical preparations for destroying unwanted vegetation (herbicides)
0048076-0058008,44,human healthcare services,Identical,44,dietetic advisory services,"Professional services for human healthcare, including medical, diagnostic, and therapeutic care",Professional dietetic advisory services
0048076-0058010,44,human healthcare services,Identical,44,nutritional advice,"Professional services for human healthcare, including medical, diagnostic, and therapeutic care",Professional nutritional advice services
0004882-0059365,16,credit cards without magnetic coding,Dissimilar,36,debt collection agency services,"Plastic cards, non-magnetic, for use as credit or payment instruments","Financial services, namely, debt collection agency services"
0072390-0046364,25,footwear,Similar,25,clothing,Articles of footwear for covering and protecting the feet,Garments and articles of dress for covering the human body
0010363-0016088,7,elevator operating apparatus,Dissimilar,9,optical apparatus and instruments,"Operating apparatus for elevators, being parts of machines",Scientific optical apparatus and instruments
0002640-0046292,42,software design and development,Dissimilar,9,computer screens,Professional services for the design and development of computer software,"Computer peripheral devices, namely, computer screens for displaying data"
0034938-0001580,6,frameworks of metal,Identical,6,duckboards of metal,Metal frameworks for construction and structural support,Metal duckboards for construction purposes
0023179-0057417,3,laundry blueing,Dissimilar,3,hair lotions,Chemical preparations for counteracting yellowing and enhancing the whiteness of fabrics during laundry,Non-medicated hair lotions for cosmetic purposes
0071498-0058173,9,chargers,Identical,9,battery chargers,Electrical chargers for batteries and electronic devices,"Electrical apparatus, namely, battery chargers"
0059171-0007625,3,soap,Identical,3,creams (soap -) for use in washing,Preparations in the nature of soap for cleaning and washing,Soap creams for washing
0013960-0008236,10,artificial eyes,Dissimilar,10,veterinary apparatus and instruments,"Ocular prostheses, namely, artificial eyes for medical replacement",Apparatus and instruments specifically designed for veterinary medical and surgical purposes.
0002649-0001128,21,brushes,Low similar,21,shaving brush stands,"Handheld brushes for cleaning, grooming, or applying substances",Stands for shaving brushes
0031756-0023832,35,layout services for advertising purposes,Identical,35,advertising,Layout design services for creating advertising content,Advertising services
0073976-0072795,30,"food flavourings, other than essential oils",Dissimilar,30,golden syrup,Non-essential oil food flavourings,Golden food syrup
0030502-0058234,3,cosmetics,Dissimilar,3,shoemakers' wax,Non-medicated cosmetics for beauty and personal care,Wax preparation for use by shoemakers
0008086-0012320,30,thickening agents for cooking foodstuffs,Dissimilar,30,vinegar,Food thickening agents for culinary use in preparing foodstuffs.,Edible vinegar for food and condiment purposes
0003009-0059373,12,pilotless aircraft,Dissimilar,9,measuring apparatus,"Pilotless aircraft, being unmanned aerial vehicles for transport",Scientific and industrial instruments for measuring
